Province and City,Gender,Age group,Year,Population,Unemployment rate,Employment rate,Population Total
"St. John's, Newfoundland and Labrador",Men,15 to 24 years,2021,12.1,15.2,54.5,12100
"St. John's, Newfoundland and Labrador",Men,15 to 24 years,2022,14.3,13,60.8,14300
"St. John's, Newfoundland and Labrador",Men,15 to 24 years,2023,14.3,13.3,54.5,14300
"St. John's, Newfoundland and Labrador",Men,15 to 24 years,2024,15,17.2,55.3,15000
"St. John's, Newfoundland and Labrador",Men,15 to 24 years,2025,15.9,16.8,53.5,15900
"St. John's, Newfoundland and Labrador",Men,25 to 54 years,2021,44.6,8.4,81.2,44600
"St. John's, Newfoundland and Labrador",Men,25 to 54 years,2022,46.4,6.8,85.8,46400
"St. John's, Newfoundland and Labrador",Men,25 to 54 years,2023,46.5,5.5,85.6,46500
"St. John's, Newfoundland and Labrador",Men,25 to 54 years,2024,48.2,7,85.9,48200
"St. John's, Newfoundland and Labrador",Men,25 to 54 years,2025,50.2,6.4,84.9,50200
"St. John's, Newfoundland and Labrador",Men,55 years and over,2021,33.5,11.6,34.3,33500
"St. John's, Newfoundland and Labrador",Men,55 years and over,2022,32.2,9.6,37.9,32200
"St. John's, Newfoundland and Labrador",Men,55 years and over,2023,34.4,5.4,35.5,34400
"St. John's, Newfoundland and Labrador",Men,55 years and over,2024,35.3,7.5,34.8,35300
"St. John's, Newfoundland and Labrador",Men,55 years and over,2025,34.4,7.7,38.4,34400
"St. John's, Newfoundland and Labrador",Women,15 to 24 years,2021,13,13.3,60,13000
"St. John's, Newfoundland and Labrador",Women,15 to 24 years,2022,13.9,6.2,65.5,13900
"St. John's, Newfoundland and Labrador",Women,15 to 24 years,2023,14.5,10.2,60.7,14500
"St. John's, Newfoundland and Labrador",Women,15 to 24 years,2024,15.3,8.4,64.1,15300
"St. John's, Newfoundland and Labrador",Women,15 to 24 years,2025,15.5,13,55.5,15500
"St. John's, Newfoundland and Labrador",Women,25 to 54 years,2021,45.5,4.6,82,45500
"St. John's, Newfoundland and Labrador",Women,25 to 54 years,2022,46.4,4.2,83.2,46400
"St. John's, Newfoundland and Labrador",Women,25 to 54 years,2023,46.8,4.6,83.5,46800
"St. John's, Newfoundland and Labrador",Women,25 to 54 years,2024,47.6,4.1,83.8,47600
"St. John's, Newfoundland and Labrador",Women,25 to 54 years,2025,50.2,5.4,83.3,50200
"St. John's, Newfoundland and Labrador",Women,55 years and over,2021,37,7.1,24.9,37000
"St. John's, Newfoundland and Labrador",Women,55 years and over,2022,35.8,5.5,28.8,35800
"St. John's, Newfoundland and Labrador",Women,55 years and over,2023,38.5,x,27.8,38500
"St. John's, Newfoundland and Labrador",Women,55 years and over,2024,40.4,5.9,27.5,40400
"St. John's, Newfoundland and Labrador",Women,55 years and over,2025,40.2,x,29.4,40200
"Halifax, Nova Scotia",Men,15 to 24 years,2021,29.3,15.5,59.4,29300
"Halifax, Nova Scotia",Men,15 to 24 years,2022,32.7,11.6,58.7,32700
"Halifax, Nova Scotia",Men,15 to 24 years,2023,34.4,11.7,59,34400
"Halifax, Nova Scotia",Men,15 to 24 years,2024,33.6,11.5,59.5,33600
"Halifax, Nova Scotia",Men,15 to 24 years,2025,35.8,13.4,57.5,35800
"Halifax, Nova Scotia",Men,25 to 54 years,2021,97.2,6.9,86.1,97200
"Halifax, Nova Scotia",Men,25 to 54 years,2022,100.8,4.6,87.4,100800
"Halifax, Nova Scotia",Men,25 to 54 years,2023,106.1,4.4,87.9,106100
"Halifax, Nova Scotia",Men,25 to 54 years,2024,112.4,5,88.1,112400
"Halifax, Nova Scotia",Men,25 to 54 years,2025,119.4,5.5,87.1,119400
"Halifax, Nova Scotia",Men,55 years and over,2021,68,6.1,41,68000
"Halifax, Nova Scotia",Men,55 years and over,2022,69.4,2.9,42.9,69400
"Halifax, Nova Scotia",Men,55 years and over,2023,69.4,5.7,40.5,69400
"Halifax, Nova Scotia",Men,55 years and over,2024,74.8,4.3,41.8,74800
"Halifax, Nova Scotia",Men,55 years and over,2025,70.8,3.9,41.7,70800
"Halifax, Nova Scotia",Women,15 to 24 years,2021,28.8,13.6,61.5,28800
"Halifax, Nova Scotia",Women,15 to 24 years,2022,29.2,7.4,68.5,29200
"Halifax, Nova Scotia",Women,15 to 24 years,2023,31.3,9.3,62.3,31300
"Halifax, Nova Scotia",Women,15 to 24 years,2024,29.9,10,63.2,29900
"Halifax, Nova Scotia",Women,15 to 24 years,2025,32.8,11.7,59.8,32800
"Halifax, Nova Scotia",Women,25 to 54 years,2021,102.4,5.1,83.1,102400
"Halifax, Nova Scotia",Women,25 to 54 years,2022,103.1,3.5,83.6,103100
"Halifax, Nova Scotia",Women,25 to 54 years,2023,110.2,4.4,82.9,110200
"Halifax, Nova Scotia",Women,25 to 54 years,2024,114.4,4.7,84.2,114400
"Halifax, Nova Scotia",Women,25 to 54 years,2025,117.8,3.7,82.2,117800
"Halifax, Nova Scotia",Women,55 years and over,2021,74,8.3,29.7,74000
"Halifax, Nova Scotia",Women,55 years and over,2022,77.5,5.8,29.5,77500
