Year,Province,NAICS,Gender,Age group,Hourly Wage,525
2021,Alberta,Accommodation and food services  ,Men ,15 to 24 years,15.81,
2021,Alberta,Accommodation and food services  ,Women ,15 to 24 years,16.26,
2021,Alberta,Agriculture  ,Men ,15 to 24 years,18.15,
2021,Alberta,Agriculture  ,Women ,15 to 24 years,16.37,
2021,Alberta,"Business, building and other support services  ",Men ,15 to 24 years,19.03,
2021,Alberta,"Business, building and other support services  ",Women ,15 to 24 years,18.07,
2021,Alberta,Construction  ,Men ,15 to 24 years,22.78,
2021,Alberta,Construction  ,Women ,15 to 24 years,19.91,
2021,Alberta,Educational services  ,Men ,15 to 24 years,18.56,
2021,Alberta,Educational services  ,Women ,15 to 24 years,20.88,
2021,Alberta,"Finance, insurance, real estate, rental and leasing  ",Men ,15 to 24 years,22.24,
2021,Alberta,"Finance, insurance, real estate, rental and leasing  ",Women ,15 to 24 years,19.4,
2021,Alberta,"Forestry, fishing, mining, quarrying, oil and gas  ",Men ,15 to 24 years,28.27,
2021,Alberta,"Forestry, fishing, mining, quarrying, oil and gas  ",Women ,15 to 24 years,30.11,
2021,Alberta,Health care and social assistance  ,Men ,15 to 24 years,20.73,
2021,Alberta,Health care and social assistance  ,Women ,15 to 24 years,22.04,
2021,Alberta,"Information, culture and recreation  ",Men ,15 to 24 years,18.01,
2021,Alberta,"Information, culture and recreation  ",Women ,15 to 24 years,17.11,
2021,Alberta,Manufacturing  ,Men ,15 to 24 years,24.31,
2021,Alberta,Manufacturing  ,Women ,15 to 24 years,,
2021,Alberta,Other services (except public administration)  ,Men ,15 to 24 years,21.9,
2021,Alberta,Other services (except public administration)  ,Women ,15 to 24 years,18.4,
2021,Alberta,"Professional, scientific and technical services  ",Men ,15 to 24 years,25.01,
2021,Alberta,"Professional, scientific and technical services  ",Women ,15 to 24 years,24.38,
2021,Alberta,Public administration  ,Men ,15 to 24 years,22.11,
2021,Alberta,Public administration  ,Women ,15 to 24 years,24.09,
2021,Alberta,Transportation and warehousing  ,Men ,15 to 24 years,22.04,
2021,Alberta,Transportation and warehousing  ,Women ,15 to 24 years,,
2021,Alberta,Utilities  ,Men ,15 to 24 years,,
2021,Alberta,Utilities  ,Women ,15 to 24 years,,
2021,Alberta,Wholesale and retail trade  ,Men ,15 to 24 years,17.05,
2021,Alberta,Wholesale and retail trade  ,Women ,15 to 24 years,16.34,
2021,Alberta,Accommodation and food services  ,Men ,25 to 54 years,21.34,
2021,Alberta,Accommodation and food services  ,Women ,25 to 54 years,18.56,
2021,Alberta,Agriculture  ,Men ,25 to 54 years,25.58,
2021,Alberta,Agriculture  ,Women ,25 to 54 years,19.55,
2021,Alberta,"Business, building and other support services  ",Men ,25 to 54 years,28.89,
2021,Alberta,"Business, building and other support services  ",Women ,25 to 54 years,23.82,
2021,Alberta,Construction  ,Men ,25 to 54 years,36.42,
2021,Alberta,Construction  ,Women ,25 to 54 years,30,
2021,Alberta,Educational services  ,Men ,25 to 54 years,40.08,
2021,Alberta,Educational services  ,Women ,25 to 54 years,36.92,
2021,Alberta,"Finance, insurance, real estate, rental and leasing  ",Men ,25 to 54 years,42.04,
2021,Alberta,"Finance, insurance, real estate, rental and leasing  ",Women ,25 to 54 years,35.11,
2021,Alberta,"Forestry, fishing, mining, quarrying, oil and gas  ",Men ,25 to 54 years,50.16,
2021,Alberta,"Forestry, fishing, mining, quarrying, oil and gas  ",Women ,25 to 54 years,47.34,
2021,Alberta,Health care and social assistance  ,Men ,25 to 54 years,35.29,
2021,Alberta,Health care and social assistance  ,Women ,25 to 54 years,32.88,
2021,Alberta,"Information, culture and recreation  ",Men ,25 to 54 years,34.77,
2021,Alberta,"Information, culture and recreation  ",Women ,25 to 54 years,33.43,
2021,Alberta,Manufacturing  ,Men ,25 to 54 years,36.08,
2021,Alberta,Manufacturing  ,Women ,25 to 54 years,30.9,
2021,Alberta,Other services (except public administration)  ,Men ,25 to 54 years,32.99,
2021,Alberta,Other services (except public administration)  ,Women ,25 to 54 years,28.13,
2021,Alberta,"Professional, scientific and technical services  ",Men ,25 to 54 years,44.98,
2021,Alberta,"Professional, scientific and technical services  ",Women ,25 to 54 years,35.64,
2021,Alberta,Public administration  ,Men ,25 to 54 years,43.9,
2021,Alberta,Public administration  ,Women ,25 to 54 years,41.09,
2021,Alberta,Transportation and warehousing  ,Men ,25 to 54 years,35.74,
2021,Alberta,Transportation and warehousing  ,Women ,25 to 54 years,31.76,
2021,Alberta,Utilities  ,Men ,25 to 54 years,50.87,
2021,Alberta,Utilities  ,Women ,25 to 54 years,54.04,
2021,Alberta,Wholesale and retail trade  ,Men ,25 to 54 years,32.19,
2021,Alberta,Wholesale and retail trade  ,Women ,25 to 54 years,23.44,
2021,Alberta,Accommodation and food services  ,Men ,55 years and over,22.63,
2021,Alberta,Accommodation and food services  ,Women ,55 years and over,18.92,
2021,Alberta,Agriculture  ,Men ,55 years and over,27.65,
2021,Alberta,Agriculture  ,Women ,55 years and over,,
2021,Alberta,"Business, building and other support services  ",Men ,55 years and over,22.97,
2021,Alberta,"Business, building and other support services  ",Women ,55 years and over,27.55,
2021,Alberta,Construction  ,Men ,55 years and over,36.48,
2021,Alberta,Construction  ,Women ,55 years and over,36.22,
2021,Alberta,Educational services  ,Men ,55 years and over,46.02,
2021,Alberta,Educational services  ,Women ,55 years and over,38.63,
2021,Alberta,"Finance, insurance, real estate, rental and leasing  ",Men ,55 years and over,41.21,
2021,Alberta,"Finance, insurance, real estate, rental and leasing  ",Women ,55 years and over,33.3,
2021,Alberta,"Forestry, fishing, mining, quarrying, oil and gas  ",Men ,55 years and over,57.27,
2021,Alberta,"Forestry, fishing, mining, quarrying, oil and gas  ",Women ,55 years and over,50.65,
2021,Alberta,Health care and social assistance  ,Men ,55 years and over,42.6,
2021,Alberta,Health care and social assistance  ,Women ,55 years and over,32.46,
2021,Alberta,"Information, culture and recreation  ",Men ,55 years and over,35.66,
2021,Alberta,"Information, culture and recreation  ",Women ,55 years and over,27.19,
2021,Alberta,Manufacturing  ,Men ,55 years and over,39.32,
2021,Alberta,Manufacturing  ,Women ,55 years and over,27.67,
2021,Alberta,Other services (except public administration)  ,Men ,55 years and over,33.35,
2021,Alberta,Other services (except public administration)  ,Women ,55 years and over,24.71,
2021,Alberta,"Professional, scientific and technical services  ",Men ,55 years and over,56.42,
2021,Alberta,"Professional, scientific and technical services  ",Women ,55 years and over,38.01,
2021,Alberta,Public administration  ,Men ,55 years and over,46.65,
2021,Alberta,Public administration  ,Women ,55 years and over,37.37,
2021,Alberta,Transportation and warehousing  ,Men ,55 years and over,33.68,
2021,Alberta,Transportation and warehousing  ,Women ,55 years and over,28.78,
2021,Alberta,Utilities  ,Men ,55 years and over,60.22,
2021,Alberta,Utilities  ,Women ,55 years and over,53.12,
2021,Alberta,Wholesale and retail trade  ,Men ,55 years and over,31.13,
2021,Alberta,Wholesale and retail trade  ,Women ,55 years and over,22.84,
2021,British Columbia,Accommodation and food services  ,Men ,15 to 24 years,16.16,
2021,British Columbia,Accommodation and food services  ,Women ,15 to 24 years,16.82,
2021,British Columbia,Agriculture  ,Men ,15 to 24 years,18.75,
2021,British Columbia,Agriculture  ,Women ,15 to 24 years,,
2021,British Columbia,"Business, building and other support services  ",Men ,15 to 24 years,21.37,
2021,British Columbia,"Business, building and other support services  ",Women ,15 to 24 years,18.91,
2021,British Columbia,Construction  ,Men ,15 to 24 years,23.52,
2021,British Columbia,Construction  ,Women ,15 to 24 years,21.77,
2021,British Columbia,Educational services  ,Men ,15 to 24 years,18.3,
2021,British Columbia,Educational services  ,Women ,15 to 24 years,20.98,
2021,British Columbia,"Finance, insurance, real estate, rental and leasing  ",Men ,15 to 24 years,19.04,
2021,British Columbia,"Finance, insurance, real estate, rental and leasing  ",Women ,15 to 24 years,20.29,
2021,British Columbia,"Forestry, fishing, mining, quarrying, oil and gas  ",Men ,15 to 24 years,24.9,
2021,British Columbia,"Forestry, fishing, mining, quarrying, oil and gas  ",Women ,15 to 24 years,,
2021,British Columbia,Health care and social assistance  ,Men ,15 to 24 years,22.14,
2021,British Columbia,Health care and social assistance  ,Women ,15 to 24 years,22.98,
2021,British Columbia,"Information, culture and recreation  ",Men ,15 to 24 years,19.01,
2021,British Columbia,"Information, culture and recreation  ",Women ,15 to 24 years,18.48,
2021,British Columbia,Manufacturing  ,Men ,15 to 24 years,20.76,
2021,British Columbia,Manufacturing  ,Women ,15 to 24 years,22.24,
2021,British Columbia,Other services (except public administration)  ,Men ,15 to 24 years,20.16,
2021,British Columbia,Other services (except public administration)  ,Women ,15 to 24 years,21.22,
2021,British Columbia,"Professional, scientific and technical services  ",Men ,15 to 24 years,27.45,
2021,British Columbia,"Professional, scientific and technical services  ",Women ,15 to 24 years,20.58,
2021,British Columbia,Public administration  ,Men ,15 to 24 years,27.02,
2021,British Columbia,Public administration  ,Women ,15 to 24 years,23.95,
2021,British Columbia,Transportation and warehousing  ,Men ,15 to 24 years,22.84,
2021,British Columbia,Transportation and warehousing  ,Women ,15 to 24 years,22.58,
2021,British Columbia,Utilities  ,Men ,15 to 24 years,,
2021,British Columbia,Utilities  ,Women ,15 to 24 years,,
2021,British Columbia,Wholesale and retail trade  ,Men ,15 to 24 years,16.62,
2021,British Columbia,Wholesale and retail trade  ,Women ,15 to 24 years,16.36,
2021,British Columbia,Accommodation and food services  ,Men ,25 to 54 years,21.64,
2021,British Columbia,Accommodation and food services  ,Women ,25 to 54 years,19.78,
2021,British Columbia,Agriculture  ,Men ,25 to 54 years,24.56,
2021,British Columbia,Agriculture  ,Women ,25 to 54 years,20.48,
2021,British Columbia,"Business, building and other support services  ",Men ,25 to 54 years,28.92,
2021,British Columbia,"Business, building and other support services  ",Women ,25 to 54 years,26.22,
2021,British Columbia,Construction  ,Men ,25 to 54 years,34.46,
2021,British Columbia,Construction  ,Women ,25 to 54 years,30.51,
2021,British Columbia,Educational services  ,Men ,25 to 54 years,37.45,
2021,British Columbia,Educational services  ,Women ,25 to 54 years,35.06,
2021,British Columbia,"Finance, insurance, real estate, rental and leasing  ",Men ,25 to 54 years,39.99,
2021,British Columbia,"Finance, insurance, real estate, rental and leasing  ",Women ,25 to 54 years,33.95,
2021,British Columbia,"Forestry, fishing, mining, quarrying, oil and gas  ",Men ,25 to 54 years,46.45,
2021,British Columbia,"Forestry, fishing, mining, quarrying, oil and gas  ",Women ,25 to 54 years,42.47,
2021,British Columbia,Health care and social assistance  ,Men ,25 to 54 years,35.23,
2021,British Columbia,Health care and social assistance  ,Women ,25 to 54 years,31.33,
2021,British Columbia,"Information, culture and recreation  ",Men ,25 to 54 years,40.86,
2021,British Columbia,"Information, culture and recreation  ",Women ,25 to 54 years,33.02,
2021,British Columbia,Manufacturing  ,Men ,25 to 54 years,34.19,
2021,British Columbia,Manufacturing  ,Women ,25 to 54 years,26.63,
2021,British Columbia,Other services (except public administration)  ,Men ,25 to 54 years,30.61,
2021,British Columbia,Other services (except public administration)  ,Women ,25 to 54 years,24.8,
2021,British Columbia,"Professional, scientific and technical services  ",Men ,25 to 54 years,45.56,
2021,British Columbia,"Professional, scientific and technical services  ",Women ,25 to 54 years,36.21,
2021,British Columbia,Public administration  ,Men ,25 to 54 years,41.32,
2021,British Columbia,Public administration  ,Women ,25 to 54 years,37.83,
2021,British Columbia,Transportation and warehousing  ,Men ,25 to 54 years,35.7,
2021,British Columbia,Transportation and warehousing  ,Women ,25 to 54 years,29.51,
2021,British Columbia,Utilities  ,Men ,25 to 54 years,46.82,
2021,British Columbia,Utilities  ,Women ,25 to 54 years,42.83,
2021,British Columbia,Wholesale and retail trade  ,Men ,25 to 54 years,32.66,
2021,British Columbia,Wholesale and retail trade  ,Women ,25 to 54 years,23.52,
